District,ASER_District_Name,road_access_pct,mobile_per_1000_children,internet_per_1000_children,out_of_school_rate,gender_parity_index,lp_school_density_per_1000,road_access_norm,mobile_per_1000_children_norm,internet_per_1000_children_norm,out_of_school_norm,gender_parity_norm,lp_school_density_norm,Infrastructure_Index,Education_Access_Index
Udupi,Udupi,87.61,1148.3136083721047,62.13054263183226,0.059201519505667315,0.9147211720226843,50.24875621890548,78.00851970181044,39.494042998758076,7.783262435961939,90.78946597412151,83.53933970857027,73.98578499135597,58.75128135028426,82.77153022468258
Chikkamagaluru,Chikkamagaluru,62.81,1160.7957540396606,81.38393587436612,0.06902188720370538,0.6422004656438421,18.77593046848975,33.99006034788783,39.960883116790946,10.337914750783298,89.23126646141273,20.47974086450313,24.308499686068732,36.975471732339386,44.673169003994865
Tumakuru,Tumakuru,90.24,578.3884187666802,23.926170673350803,0.054175667188869486,0.9525876888436465,22.95042321644498,82.67660631877884,18.17848156632986,2.7140839264606007,91.58691886710689,92.30141651396558,30.897595590248393,50.42754394255435,71.59531032377362
Kolara,Kolar,98.72,594.6076867637851,33.63106841999551,0.012404089805610193,0.9379056908335337,28.027764480612735,97.7280795172169,18.785092415765487,4.001786264498321,98.21482257957939,88.90409336355492,38.91176414862888,58.256585966491194,75.34356003058774
Bengaluru (Urban),Bengaluru Urban,83.17,92.34095591788976,757.1312288555948,0.14909186039718886,0.9195777348904604,13.38095092118574,70.12779552715655,0.0,100.0,76.52654938268088,84.66311819231314,15.792965036814346,35.063897763578275,58.994210870602785
Bengaluru (Rural),Bengaluru Rural,100.0,502.9081648693684,56.159021599019084,0.10913344900955507,0.9303292368381125,59.56696384833937,100.0,15.355472479826213,6.990926257226467,82.86675771981542,87.15094896597793,88.6938147886225,57.67773623991311,86.23717382480528
Mandya,Mandya,100.0,388.34316475278905,30.05395751317494,0.03457619020676562,0.9245264750378215,61.61386311920182,100.0,11.070669241559502,3.5271543622997017,94.69677141254289,85.80822592604368,91.92467813328024,55.53533462077975,90.8098918239556
Hassan,Hassan,100.0,1025.9429341170708,32.48224344844477,0.04895960832313342,0.9454437164979155,30.453154597114963,100.0,34.91730262618968,3.84935347844723,92.41455186749586,90.64834568400576,42.7400443847152,67.45865131309483,75.26764731207227
Dakshina Kannada,Dakshina Kannada,80.93,1073.068909578762,71.41209665639008,0.0011532207533606774,0.933867094865333,47.580317202114685,66.15193468228613,36.67984382166175,9.014793064110872,100.0,87.96958734002374,69.77387191408405,51.41588925197394,85.91448641803593
Kodagu,Kodagu,75.0,2766.092672062578,185.48898183859345,0.025343494867942292,0.9384016005054228,33.357838632604306,55.62655307064253,100.0,24.151178382129384,96.1617248460907,89.01884378156075,47.324850931703146,77.81327653532126,77.50180651978486
Mysuru,Mysuru,100.0,611.599698400333,76.46990729877453,0.042843829550358696,0.9425020511106385,12.934885897854114,100.0,19.420604364535688,9.68589282833067,93.38494358770366,89.96766258392125,15.088887824158533,59.710302182267846,66.14716466526114
Chamarajanagara,Chamarajanagar,94.74,536.66766130328,27.853650698923495,0.2826701456838443,0.8854867677926125,10.784614859561108,90.66382676606318,16.61809893201564,3.2352048432961147,55.331658779580216,76.77468014310264,11.69486058618271,53.64096284903941,47.93373316962185
Chikkaballapura,Chikkaballapur,99.47,780.6986126409828,19.117577494103895,0.05673260706591113,1.0141418265958895,20.722037227798676,99.05928292509762,25.74501037499635,2.076051786273522,91.18120875594396,100.0,27.380270282182444,62.40214665004699,72.85382634604213
Ramanagara,Ramanagara,95.57,462.302909640028,31.63569180930849,0.0050614544933062265,0.9227724699508508,66.72994779307072,92.13702520411783,13.836810332396551,3.73702807807273,99.37987984804766,85.40236004295345,100.0,52.98691776825719,94.92741329700037
Yadgiri,Yadgir,86.86,238.61971996016172,3.471205108676548,0.32215679595114116,0.9366331016877039,5.0860939022887415,76.6773162939297,5.470918004802365,0.0,49.066304864441584,88.60962413919519,2.7002106091675824,41.07411714936604,46.79204653760146
Vijayanagara,,75.58,761.4516796264224,15.565730151941159,0.10733577792986544,0.9510129820385494,24.852663182475258,56.656017039403615,25.025162944947287,1.6047720009262418,83.15199451404898,91.93703913968855,33.90012603543278,40.84058999217545,69.66305322972345
